date,amount(unit),electric_price,people,note
11/1/2023,135,1080,2,
12/1/2023,94,752,2,
1/1/2024,33,264,,ปิดเทอม
2/1/2024,87,696,2,
3/1/2024,75,600,2,
4/1/2024,92,736,2,
5/1/2024,87,696,2,
6/1/2024,70,560,1,
7/1/2024,61,488,,ปิดเทอม
8/1/2024,59,472,,ปิดเทอม
9/1/2024,53,424,,ปิดเทอม
10/1/2024,140,1120,2,
11/1/2024,131,1048,2,
12/1/2024,138,1104,2,
1/1/2025,62,496,,ปิดเทอม
2/1/2025,65,520,2,
3/1/2025,135,1080,2,
4/1/2025,147,1176,2,
5/1/2025,137,1096,2,
6/1/2025,161,1288,2,
7/1/2025,46,368,,ปิดเทอม
8/1/2025,89,712,,ปิดเทอม
9/1/2025,142,1136,1,
10/1/2025,158,1264,2,
11/1/2025,149,1192,2,
12/1/2025,142,1136,2,
1/1/2026,60,480,,ปิดเทอม
2/1/2026,88,704,2,
